Feature Name,Description,단위,비고
ARI_CO,도착항의 소속국가(도착항 앞 2글자),,
ARI_PO,도착항의 항구명(도착항 뒤 글자),,
SHIP_TYPE_CATEGORY,선종 통합 바탕으로 5대 선종으로 분류,,
DIST,정박지(ber_port)와 접안지 사이의 거리,km,
ATA,anc_port에 도착한 시점의 utc. 실제 정박 시각(Actual Time of Arrival),hour,
ID,선박식별 일련번호,,
BREADTH,선박의 폭,m,
BUILT,선박의 연령,year,
DEADWEIGHT,선박의 재화중량톤수,ton,
DEPTH,선박의 깊이,m,
DRAUGHT,흘수 높이,m,
GT,용적톤수(Gross Tonnage)값,GT(m^3),
LENGTH,선박의 길이,m,
SHIPMANAGER,선박 소유주,,
FLAG,선박의 국적,,
U_WIND,풍향 u벡터,m/s,
V_WIND,풍향 v벡터,m/s,
AIR_TEMPERATURE,기온,ºC,
BN,보퍼트 풍력 계급,,https://ko.wikipedia.org/wiki/보퍼트_풍력_계급
ATA_LT,anc_port에 도착한 시점의 현지 정박 시각(Local Time of Arrival)(단위 : H),hour,
DUBAI,해당일의 두바이유 값,dollar,
BRENT,해당일의 브렌트유 값,dollar,
WTI,해당일의 WTI 값,dollar,
BDI_ADJ,조정된 벌크운임지수,,
PORT_SIZE,접안지 폴리곤 영역의 크기,km^2,
CI_HOUR,대기시간,hour,Target
