,SMILES,AlogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds,LogD,Molecular_PolarSurfaceArea
849,O=C1CS/C(=N/c2cccc(C(F)(F)F)c2)N1,2.824,260.236,3,1,2,2.824,66.75
820,O=c1[nH]c(N2CCN(Cc3ccccc3)CC2)nc(O)c1Cc1ccccc1,3.369,376.452,4,2,5,1.846,68.17
886,CCC(C)c1ccc(O)c(NC(=O)c2nccnc2C(=O)O)c1,2.208,315.324,6,3,5,0.736,112.41
1288,Cc1ccccc1-c1nc2ccccc2cc1Cn1nc(-c2cncnc2)c2cnc(N)nc21,4.245,444.491,6,1,4,4.234,108.29
414,Oc1ccc(C23CCCC2C2(CCCC2)c2ccc(O)cc2O3)c(O)c1,4.905,352.424,4,3,1,4.902,69.92
1815,CCCN(CC1CCCO1)C(=O)c1sc2ncn(C)c(=O)c2c1C,2.165,349.448,4,0,5,2.165,90.45
1109,O=C(NCC1Cc2ccccc2CO1)c1cnn2c1OCCC2,1.233,313.351,4,1,3,1.233,65.38
1530,Cc1ccc(O[C@H]2COCC[C@H]2NC(=O)c2cnn[nH]2)cn1,-0.123,303.316,6,2,4,-0.122,102.02
743,CCN(CC)C1c2cccc3cccc(c23)C1NS(=O)(=O)c1ccccc1,3.88,380.503,3,1,6,3.515,57.79
476,CCCC(C)N(C)S(=O)(=O)c1ccc(NS(=O)(=O)CC)c(F)c1,2.118,366.472,4,1,8,2.222,100.31
2908,Cc1cc(-c2[nH]c3[nH]c(=O)[nH]c(=O)c3c2-c2cc(C)sc2C)c(C)s1,3.017,371.476,2,3,2,3.018,130.47
1869,O=C(O)CCC(=O)N1N=C(c2nn(-c3ccccc3)cc2-c2ccccc2)CC1c1cccs1,4.617,470.543,5,1,7,3.183,116.02
1203,CCC(CNC(=O)CCOCC(C)C)NC(=O)CCOCC(C)C,1.82,344.489,4,2,14,1.82,76.66
762,CCc1c(C(=O)NCC(OC)C(C)(C)C)cnc2c1c(=O)n(C)c(=O)n2C,1.878,376.45,5,1,6,1.878,91.83
988,Cc1nnc(SCC(=O)Nc2nc[nH]n2)s1,0.023,256.308,6,2,4,0.134,149.99
3054,Cc1cc(C)c(C(=O)c2ccc(C(=O)NC(C)(C)C)cc2)c(C)c1,4.832,323.429,2,1,4,4.832,46.17
1615,Cn1nc2c(c1C(=O)N1CCC(C3CCCCN3S(C)(=O)=O)CC1)CCCC2,2.39,408.558,4,0,3,2.39,83.89
271,COc1cc2nc(OC3CCN(C(=O)OC(C)(C)C)CC3)nc(Nc3ccc(S(C)(=O)=O)cc3F)c2cc1OC,4.625,576.637,9,1,9,4.625,137.56
3284,Cc1cccc(C2=C(N)OC(c3ccc(Cl)cc3)C2=O)n1,2.856,300.74,3,1,2,2.987,65.2
1992,CCOc1ccccc1-n1nnc(C(=O)O)c1-c1ccncc1,2.639,310.307,6,1,5,1.224,90.13
3058,COCCNC(=O)c1ccc(-n2ncc(C(=O)OC)c2N)cc1,0.367,318.328,5,2,7,0.366,108.47
1501,CCC(C(=O)Nc1ccc(C(=O)O)cc1NC(=O)C(CC)c1ccccc1)c1ccccc1,4.936,444.522,4,3,9,3.465,95.5
672,CCOC(=O)C1SC2(C(F)(F)F)CC1(O)C(C)(C)CO2,2.193,314.321,5,1,4,2.193,81.06
1897,c1ccc2c(c1)CC(N1CCCCC1)c1ccccc1N2,4.474,278.391,1,1,1,3.367,15.27
655,O=S(=O)(Nc1ccc(N2CCOCC2)cc1)c1ccc(-c2nnc(C3CCC3)o2)o1,2.461,430.477,5,1,6,2.417,119.08
2561,Nc1nc2n(c1C(=O)c1ccc(Br)cc1)CCCC2,3.131,320.184,2,1,2,3.085,60.91
1180,CC(=O)N1N=C(c2c(-c3ccccc3)c3ccccc3[nH]c2=O)CC1c1ccnc2ccccc12,3.789,458.511,4,1,3,3.79,74.66
700,Cc1ccc(Nc2nc(Cl)nc(NC(C)C)n2)cc1,4.414,277.753,3,2,4,4.414,62.73
1717,c1nc(N2CCCC2)sc1CN1CC[C@H]2OCc3cnnn3[C@H]2C1,1.072,346.45,5,0,3,0.715,87.55
3134,CC1CCN(C=C(S(=O)(=O)c2ccccc2)S(=O)(=O)c2ccccc2)CC1,3.85,405.531,4,0,5,3.85,88.28
590,CC(=O)c1cccc(N(CC(=O)Nc2ccc(S(=O)(=O)N3CCCC3)cc2)S(C)(=O)=O)c1,0.901,479.57,6,1,8,0.901,137.69
2698,Cc1ccccc1NC(=O)CC(=O)NS(=O)(=O)c1ccc(Cl)cc1,2.641,366.819,4,2,5,2.744,100.72
1386,Cc1n[nH]c(C)c1CNC(=O)C1CCN(C(=O)c2ncn3c2COC(c2ccc(F)cc2)C3)CC1,1.419,480.535,5,2,5,1.421,105.13
314,CC(C)c1nnc(-c2cccnc2N2CCN(C(=O)C3COc4ccccc4O3)CC2)o1,2.724,435.476,6,0,4,2.724,93.82
119,COc1ccc(N)cc1N1CCCCS1(=O)=O,0.644,256.321,3,1,2,0.62,81.01
3082,O=c1c2cc3c(=O)n(-c4ccccc4)ccc3nc2ccn1CCO,0.778,333.341,4,1,3,1.051,73.74
2488,CCOc1ccc(-c2[nH]c3[nH]c(=O)[nH]c(=O)c3c2-c2ccc(OC)cc2)cc1OC,3.41,407.419,5,3,6,3.411,101.68
2452,O=C1N=C(O)N=C(O)C1C1c2ccccc2Oc2nc(O)nc(O)c21,2.618,342.263,10,4,1,1.94,157.72
3013,Cc1ccc(S(=O)(=O)NCc2ccccc2)c(C)c1N(C)S(=O)(=O)c1ccccc1,3.99,444.567,4,1,7,3.991,100.31
1424,CCC(C)NCc1ccccc1-c1ccc(S(C)(=O)=O)cc1,3.662,317.446,3,1,6,2.451,54.55
2361,c1ccc(-c2nnc(CNCCN3CCOCC3)o2)cc1,0.686,288.345,5,1,6,-0.537,63.42
942,CCOCCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2Cl)cc1,4.5,400.253,6,0,10,4.5,66.88
3155,CCOC(=O)c1c2ccccc2n2/c(=C\c3ccccc3C)c3ccccc3c12,6.266,379.45,2,0,4,6.266,31.23
3229,CCn1nc(C)c2ncnc(NC3CCCCCC3)c21,3.623,273.377,3,1,3,3.623,55.63
831,Cc1ccc(CN2CCC=C(CCC(=O)O)C2=O)cc1,2.418,273.327,3,1,5,0.967,57.61
215,CCOC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,-0.044,266.253,5,0,4,0.389,84.74
392,CC(C)(C)c1cn2c3ccccc3nc2n1CCNC1CCCCC1,4.857,338.49,2,1,5,3.627,34.26
27,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,2.021,290.268,6,5,1,2.01,110.38
752,CCS(=O)(=O)CC(C)N(C)c1cnc(C#N)cn1,0.861,268.335,5,0,5,0.861,95.33
478,CC1CCC(NS(=O)(=O)CC(=O)Nc2cc(-c3ccsc3)nn2C)CC1,2.294,396.527,4,2,6,2.373,129.71
1448,c1ccc(-c2ncc(CNc3cccc(-c4nnc[nH]4)c3)s2)nc1,2.247,334.398,4,2,5,2.246,107.61
1548,c1ccc(-c2ccc(-c3cn4c5ccccc5nc4n3CCN3CCCCC3)cc2)cc1,6.088,420.549,2,0,5,4.733,25.47
909,COc1ccccc1CNC(=O)c1c(OC)cc(=O)n2c1CCCC2,1.387,342.389,4,1,5,1.387,67.87
3239,CC(C)(CNC(=O)[C@@H]1OCC[C@@H]1Cn1cccn1)C1CCOCC1,1.044,335.441,4,1,6,1.044,65.38
2454,CCOc1ccccc1N1CCN(Cc2cc(F)ccc2F)CC1,4.276,332.388,2,0,5,4.27,15.71
619,Cc1ccc(S(=O)(=O)n2cc(Br)c3c(N4CCC(N5CCOCC5)CC4)ncnc32)cc1,3.635,520.443,6,0,4,3.635,88.94
2332,N#Cc1nccnc1OC1CCN(C(=O)N2CCNC2=O)C1,-0.533,302.289,6,1,2,-0.533,111.44
2390,CCCc1nc2c(c(C)c(C)n2Cc2ccncc2)c(N)c1CC,4.043,322.447,2,1,5,4.119,56.73
2224,COc1ccc([C@@H](C)C(=O)c2ccc(O)cc2O)cc1,3.231,272.296,4,2,4,3.15,66.76
2128,OCCNc1nc(Nc2ccc(Cl)cc2)c2nc[nH]c2n1,2.309,304.735,4,4,5,2.281,98.75
132,CCS(=O)(=O)Nc1cccc(-c2cc(=O)n(-c3ccc(F)c(Cl)c3)nc2C)c1,3.164,421.873,4,1,5,3.186,87.22
