,HLM
849,13.565
820,39.12
886,96.47
1288,99.0
414,43.293
1815,92.4
1109,85.447
1530,85.971
743,3.109
476,44.01
2908,26.945
1869,75.69
1203,24.206
762,4.434
988,93.962
3054,6.111
1615,8.485
271,2.69
3284,11.75
1992,99.0
3058,93.56
1501,99.0
672,90.953
1897,58.782
655,51.12
2561,96.51
1180,55.518
700,1.18
1717,99.05
3134,0.629
590,25.48
2698,56.647
1386,68.908
314,14.68
119,99.9
3082,99.99
2488,80.613
2452,98.738
3013,15.62
1424,96.513
2361,95.86
942,0.091
3155,18.489
3229,26.635
831,92.642
215,2.05
392,29.67
27,99.0
752,83.783
478,26.21
1448,83.85
1548,28.75
909,99.0
3239,54.51
2454,43.7
619,17.99
2332,0.038
2390,68.63
2224,64.922
2128,51.796
132,99.99
283,25.246
1952,91.23
563,6.37
921,83.332
1939,16.74
969,4.862
2549,95.92
913,99.37
3170,99.0
2238,2.84
2601,70.244
723,83.09
2415,99.99
2777,60.28
1818,0.5
1027,98.203
597,86.901
1338,43.993
1061,11.395
997,61.436
2759,3.43
1830,91.534
1569,57.878
2890,92.07
653,0.406
1412,39.32
3268,0.23
3033,99.0
2202,0.5
667,99.99
3212,41.86
878,3.64
1929,50.327
340,99.9
2773,4.829
2233,7.69
1757,0.191
1633,66.693
3481,69.465
1936,90.355
518,49.553
2460,99.99
766,82.209
3460,41.652
2429,27.139
906,99.454
3222,42.72
2598,71.9
1212,7.54
838,6.47
268,72.3
1049,0.109
1281,99.9
2987,43.25
2491,4.253
107,82.11
2925,81.85
3478,6.38
1081,0.14
1603,0.431
731,99.9
1354,6.173
3111,99.952
238,65.423
2065,37.062
2577,79.77
1184,53.787
2906,92.77
1336,0.195
1368,92.35
1857,77.99
1583,54.83
3329,75.16
1158,96.17
3038,66.86
1290,54.715
912,84.143
204,2.37
190,41.28
487,1.9
2064,0.69
438,42.046
244,21.14
609,36.207
2113,65.183
2992,99.99
2604,99.9
1183,40.107
2226,42.1
2876,72.68
2447,99.0
1618,87.68
1980,71.14
1079,99.0
1503,37.633
1742,99.99
426,73.177
3317,0.33
3156,70.51
2295,19.88
2372,99.9
943,41.424
3027,99.9
2318,49.49
3208,85.76
812,4.1
459,1.541
2066,62.509
933,99.0
303,99.9
2316,1.4
1138,76.8
676,64.89
2100,89.058
144,9.868
1363,99.0
2510,99.0
41,37.138
3328,83.91
3210,70.61
1555,0.27
1276,6.62
2355,95.38
1961,94.51
2348,99.99
2123,29.25
3308,21.044
2031,2.81
3192,56.429
390,21.943
2548,43.79
2401,9.522
1779,0.023
3022,0.57
251,14.81
1620,99.99
357,43.534
1990,64.03
3293,94.47
1357,22.135
232,62.249
610,78.45
2270,45.73
1491,99.0
1955,71.63
937,99.0
781,26.16
1977,70.669
68,95.61
993,77.79
1190,72.304
3237,76.67
1224,99.9
1268,0.772
2494,87.77
2846,91.91
3020,0.65
3145,62.64
2255,99.9
1463,94.49
3274,99.99
3383,78.743
3063,91.44
636,88.42
784,92.88
522,84.869
1982,3.404
2490,49.341
1489,68.795
1083,31.56
1017,71.08
1845,12.063
2576,99.99
1244,14.15
2739,0.06
145,13.13
8,71.471
1959,1.603
2621,8.73
2585,3.65
162,2.8
2580,92.59
1462,93.079
1106,0.12
2702,99.9
359,0.685
486,35.86
1187,43.43
13,63.68
1231,73.541
3001,77.008
1953,28.199
379,99.99
2575,36.574
1793,86.729
2108,57.848
757,99.24
1063,86.78
1418,67.996
1547,59.95
2848,99.9
1055,64.592
2434,40.79
1772,0.0
966,22.57
2740,93.31
59,88.29
3122,81.251
963,1.976
3062,40.0
1074,73.72
1388,4.371
3413,9.68
2049,68.49
2424,16.17
2027,43.13
3344,66.346
2468,79.92
440,78.92
1972,99.99
477,59.52
3193,82.89
1117,99.99
715,96.8
3246,16.67
3241,5.807
3059,80.763
6,69.25
125,85.828
2001,48.37
708,1.0
3095,12.42
1646,32.1
391,0.99
2266,0.872
220,32.47
1949,64.581
2351,0.69
1238,4.93
1041,85.38
58,92.459
568,23.594
813,99.08
3410,51.225
703,97.24
2978,35.558
261,0.07
2366,78.7
2299,27.267
1612,99.99
1293,49.818
1173,1.33
2994,99.99
1136,99.14
717,85.38
1025,99.9
384,53.9
588,0.21
1474,89.5
2258,97.85
2029,33.33
3165,81.67
1766,1.86
1496,79.537
2572,73.839
855,73.98
3150,92.84
2267,70.065
2789,0.803
3406,99.9
3129,98.49
3128,89.375
1056,82.725
819,96.87
2923,65.96
2651,0.0
2114,45.02
455,99.08
52,0.12
2707,39.675
20,83.03
3042,1.18
2198,54.713
194,79.441
3461,16.029
1647,99.9
1086,66.74
3161,0.0
1217,95.92
264,87.669
3201,27.77
2048,5.65
1917,81.77
2320,9.61
2057,27.95
2695,0.07
318,1.304
579,48.6
1765,80.42
2835,0.88
2174,77.08
48,76.87
2033,1.0
803,2.039
3075,13.114
223,0.0
585,96.875
3342,76.63
1835,9.045
1235,28.21
3004,81.472
829,57.01
2962,46.77
2409,91.896
2041,20.35
1493,16.739
964,40.54
2005,67.919
1315,60.612
1147,96.922
286,51.784
1222,54.158
2327,99.99
2350,27.439
2708,57.98
1230,35.471
97,0.78
1099,58.33
3105,11.344
3021,73.25
3035,17.971
795,98.55
1476,0.29
1604,31.4
285,44.323
557,44.93
3077,99.99
1999,5.86
1751,78.57
3449,83.174
315,83.581
1739,61.355
926,69.853
133,14.07
2515,61.25
1606,14.012
2239,9.542
602,0.51
1771,4.909
1103,67.63
1399,99.9
1784,1.82
3256,26.8
949,99.99
1477,99.9
996,33.995
2927,78.463
1458,63.412
11,94.151
1790,92.82
3289,96.021
3386,61.686
2013,34.03
442,2.339
1643,83.143
3158,1.26
157,8.15
1895,43.96
2840,0.25
505,26.542
1245,59.39
1687,98.65
2726,7.766
18,91.84
1593,1.123
200,94.702
2124,39.657
3312,23.725
1452,99.0
2208,1.095
646,66.09
1519,91.75
772,59.29
47,1.34
3440,80.86
3304,23.146
2144,0.008
1642,99.9
1199,40.068
3365,63.78
1485,40.54
1430,9.22
2765,3.965
2072,63.49
1001,0.235
2104,63.82
897,81.986
1062,26.672
657,1.021
1902,49.01
2970,6.53
3060,94.598
1252,0.214
2874,55.587
1010,3.069
3140,52.425
413,99.99
2326,1.022
254,99.9
2285,93.535
2696,47.04
1260,83.06
684,60.275
300,59.78
128,0.412
1054,99.0
1837,99.99
1855,33.95
1257,99.0
1105,43.995
846,0.35
3422,99.99
1334,47.26
386,0.0
651,37.4
3199,1.0
2432,62.36
3023,70.337
2626,90.986
805,51.601
2087,72.078
366,66.85
2473,52.653
2675,99.99
2346,98.83
1301,62.13
3409,83.9
3316,0.77
2426,76.214
1411,73.34
3270,99.9
1692,84.871
1712,99.99
1263,99.99
1648,91.64
458,99.0
2563,2.7
1211,42.192
1012,76.804
1957,58.29
1240,42.53
3202,33.545
3101,52.7
1030,35.78
3046,4.831
1728,73.438
87,14.71
3066,0.204
1191,60.913
1512,99.99
1813,77.22
354,44.01
1018,83.25
2082,6.261
3288,57.66
2034,99.99
876,71.352
444,26.17
161,55.443
2252,99.99
249,21.399
3024,91.42
980,70.252
884,92.88
1989,40.787
1694,25.98
2212,34.42
173,79.209
1881,83.1
2054,89.99
1752,75.079
822,95.95
2635,1.016
665,18.37
1599,44.276
1914,12.25
3010,99.99
2284,4.39
3369,25.2
158,0.0
139,15.588
1900,7.664
574,71.082
2706,84.861
1610,88.41
1965,99.9
773,13.259
2487,14.949
2678,11.629
342,92.76
792,9.615
1000,43.963
2319,75.09
441,69.299
789,90.56
1302,86.47
2761,18.397
1888,62.3
3084,16.16
535,58.374
2427,99.99
916,9.19
1382,65.305
2619,0.393
43,92.78
1885,8.08
3278,81.16
1507,0.08
80,51.47
2342,12.16
270,50.28
2668,45.668
2131,12.74
1923,86.02
475,76.484
532,88.39
3179,68.866
1323,37.02
3470,69.52
3003,99.99
3378,75.96
267,5.29
1509,99.9
233,2.766
2704,88.08
2554,99.9
2229,99.99
1943,31.19
287,0.022
1091,99.99
733,79.195
2859,58.919
512,93.473
810,0.34
2941,27.345
2300,0.28
815,99.99
828,45.9
1261,1.03
1577,61.948
2904,1.0
279,93.96
3351,99.9
1277,49.86
250,0.929
2204,70.607
3188,74.984
2188,4.44
2271,0.14
2088,99.99
1045,99.9
2234,84.684
31,99.0
3494,47.63
864,99.99
3297,54.61
2211,95.849
1737,64.87
2262,99.99
1748,99.0
842,0.69
2667,1.51
1774,69.775
2110,1.38
2656,37.324
2402,99.0
2972,73.932
3326,2.052
2459,79.72
1393,0.46
309,75.55
3357,11.153
3203,28.948
490,66.87
818,57.667
1775,60.36
3277,4.93
2520,86.25
1539,10.57
2570,51.89
3157,103.907
2638,96.809
1538,49.97
1259,18.323
1165,28.286
892,46.004
970,52.304
2012,52.97
2658,92.496
2731,16.15
1188,2.5
2293,69.19
3443,21.397
521,87.77
3275,95.219
393,99.99
77,4.987
1564,78.29
1417,99.9
2137,69.66
262,1.474
198,86.51
1770,3.83
240,79.02
721,32.051
2225,85.34
3353,21.5
2378,6.82
1058,51.002
2190,12.797
799,1.3
2624,74.017
3444,20.67
381,69.279
