,MLM
849,39.462
820,93.55
886,99.99
1288,99.0
414,8.856
1815,24.74
1109,6.183
1530,89.686
743,1.07
476,8.081
2908,22.565
1869,99.15
1203,8.817
762,8.775
988,55.0
3054,0.601
1615,4.767
271,0.36
3284,2.135
1992,99.0
3058,66.85
1501,77.9
672,99.9
1897,49.957
655,3.09
2561,63.6
1180,12.072
700,0.05
1717,80.4
3134,1.703
590,1.19
2698,25.714
1386,67.997
314,0.919
119,94.092
3082,97.65
2488,74.337
2452,93.267
3013,4.56
1424,88.506
2361,88.77
942,0.0
3155,56.678
3229,0.5
831,99.879
215,0.86
392,9.345
27,73.73
752,52.557
478,39.37
1448,49.25
1548,0.32
909,16.2
3239,18.39
2454,37.88
619,0.54
2332,0.007
2390,5.191
2224,31.118
2128,8.038
132,90.04
283,24.738
1952,96.46
563,7.172
921,60.211
1939,21.07
969,3.35
2549,46.04
913,88.41
3170,65.66
2238,1.35
2601,76.554
723,78.53
2415,99.99
2777,66.72
1818,1.0
1027,97.302
597,79.152
1338,0.0
1061,0.0
997,23.879
2759,6.44
1830,83.833
1569,18.077
2890,19.55
653,0.006
1412,3.57
3268,0.01
3033,73.0
2202,1.173
667,83.24
3212,25.29
878,0.53
1929,0.146
340,99.9
2773,4.278
2233,8.92
1757,0.709
1633,19.741
3481,36.151
1936,81.493
518,1.175
2460,17.94
766,59.14
3460,45.701
2429,18.966
906,86.764
3222,35.172
2598,4.41
1212,0.37
838,1.0
268,42.111
1049,0.117
1281,20.417
2987,44.94
2491,8.23
107,67.15
2925,85.73
3478,1.0
1081,1.0
1603,0.555
731,74.686
1354,1.247
3111,97.569
238,81.343
2065,22.03
2577,16.46
1184,41.586
2906,92.27
1336,0.217
1368,91.35
1857,49.05
1583,28.18
3329,0.39
1158,0.04
3038,0.07
1290,40.681
912,24.768
204,0.04
190,54.365
487,0.72
2064,0.44
438,76.985
244,41.23
609,26.998
2113,77.877
2992,99.99
2604,70.763
1183,28.864
2226,2.78
2876,49.01
2447,94.7
1618,69.125
1980,63.37
1079,1.34
1503,52.856
1742,15.02
426,66.537
3317,0.43
3156,57.31
2295,15.42
2372,9.894
943,39.361
3027,99.9
2318,14.46
3208,46.62
812,0.04
459,3.068
2066,48.9
933,99.43
303,99.9
2316,0.03
1138,58.21
676,0.04
2100,86.318
144,3.753
1363,99.0
2510,75.26
41,10.295
3328,76.261
3210,32.528
1555,0.49
1276,0.11
2355,63.23
1961,87.9
2348,82.89
2123,0.57
3308,0.897
2031,0.83
3192,22.728
390,0.0
2548,36.42
2401,0.173
1779,0.132
3022,0.85
251,0.27
1620,55.01
357,24.363
1990,57.35
3293,95.5
1357,10.594
232,15.959
610,59.01
2270,99.99
1491,89.78
1955,0.07
937,99.0
781,52.89
1977,16.231
68,99.0
993,27.21
1190,74.756
3237,34.02
1224,99.9
1268,0.615
2494,94.2
2846,21.56
3020,0.35
3145,23.635
2255,34.8
1463,69.49
3274,99.99
3383,22.162
3063,25.73
636,74.13
784,62.51
522,48.413
1982,2.378
2490,93.149
1489,62.542
1083,0.21
1017,61.3
1845,10.928
2576,99.99
1244,9.878
2739,0.05
145,13.51
8,74.519
1959,1.844
2621,1.866
2585,42.05
162,3.71
2580,87.42
1462,91.527
1106,8.39
2702,55.16
359,0.193
486,0.08
1187,4.42
13,66.24
1231,86.782
3001,46.53
1953,2.827
379,95.25
2575,31.926
1793,82.778
2108,87.306
757,70.13
1063,94.1
1418,7.349
1547,63.54
2848,40.657
1055,3.949
2434,60.2
1772,0.016
966,4.61
2740,60.38
59,59.97
3122,74.411
963,28.66
3062,0.73
1074,47.761
1388,5.084
3413,0.12
2049,9.0
2424,1.78
2027,49.54
3344,84.759
2468,33.8
440,12.72
1972,99.99
477,6.64
3193,91.45
1117,68.57
715,88.57
3246,0.08
3241,3.636
3059,70.398
6,82.107
125,75.521
2001,1.34
708,1.0
3095,99.99
1646,0.381
391,0.44
2266,0.271
220,31.21
1949,12.838
2351,7.07
1238,3.08
1041,96.17
58,67.683
568,20.464
813,44.37
3410,57.239
703,13.61
2978,36.122
261,1.0
2366,74.5
2299,0.282
1612,95.27
1293,44.294
1173,0.9
2994,0.47
