timestamp,supply(kg),item,corporation,location
2019-01-01,0.0,TG,A,J
2019-01-02,0.0,TG,A,J
2019-01-03,60601.0,TG,A,J
2019-01-04,25000.0,TG,A,J
2019-01-05,32352.0,TG,A,J
2019-01-06,0.0,TG,A,J
2019-01-07,44995.0,TG,A,J
2019-01-08,26975.0,TG,A,J
2019-01-09,29265.0,TG,A,J
2019-01-10,21226.0,TG,A,J
2019-01-11,25752.0,TG,A,J
2019-01-12,35488.0,TG,A,J
2019-01-13,0.0,TG,A,J
2019-01-14,15320.0,TG,A,J
2019-01-15,40486.0,TG,A,J
2019-01-16,37623.0,TG,A,J
2019-01-17,3956.0,TG,A,J
2019-01-18,39275.0,TG,A,J
2019-01-19,22295.0,TG,A,J
2019-01-20,0.0,TG,A,J
2019-01-21,26366.0,TG,A,J
2019-01-22,27582.0,TG,A,J
2019-01-23,23029.0,TG,A,J
2019-01-24,27157.0,TG,A,J
2019-01-25,32280.0,TG,A,J
2019-01-26,22324.0,TG,A,J
2019-01-27,0.0,TG,A,J
2019-01-28,26983.0,TG,A,J
2019-01-29,24969.0,TG,A,J
2019-01-30,27852.0,TG,A,J
2019-01-31,15997.0,TG,A,J
2019-02-01,36010.0,TG,A,J
2019-02-02,8808.0,TG,A,J
2019-02-03,0.0,TG,A,J
2019-02-04,8468.0,TG,A,J
2019-02-05,0.0,TG,A,J
2019-02-06,0.0,TG,A,J
2019-02-07,0.0,TG,A,J
2019-02-08,0.0,TG,A,J
2019-02-09,2312.0,TG,A,J
2019-02-10,0.0,TG,A,J
2019-02-11,5791.0,TG,A,J
2019-02-12,5000.0,TG,A,J
2019-02-13,5496.0,TG,A,J
2019-02-14,7219.0,TG,A,J
2019-02-15,9932.0,TG,A,J
2019-02-16,4525.0,TG,A,J
2019-02-17,0.0,TG,A,J
2019-02-18,11360.0,TG,A,J
2019-02-19,6790.0,TG,A,J
2019-02-20,4890.0,TG,A,J
2019-02-21,1309.0,TG,A,J
2019-02-22,2547.0,TG,A,J
2019-02-23,4080.0,TG,A,J
2019-02-24,0.0,TG,A,J
2019-02-25,6895.0,TG,A,J
2019-02-26,4057.0,TG,A,J
2019-02-27,3800.0,TG,A,J
2019-02-28,5540.0,TG,A,J
2019-03-01,1700.0,TG,A,J
2019-03-02,1967.0,TG,A,J
2019-03-03,0.0,TG,A,J
2019-03-04,4891.0,TG,A,J
2019-03-05,1210.0,TG,A,J
2019-03-06,3650.0,TG,A,J
2019-03-07,2295.0,TG,A,J
2019-03-08,3570.0,TG,A,J
2019-03-09,550.0,TG,A,J
2019-03-10,0.0,TG,A,J
2019-03-11,2165.0,TG,A,J
2019-03-12,1650.0,TG,A,J
2019-03-13,2850.0,TG,A,J
2019-03-14,3052.0,TG,A,J
2019-03-15,5970.0,TG,A,J
2019-03-16,5870.0,TG,A,J
2019-03-17,0.0,TG,A,J
2019-03-18,3370.0,TG,A,J
2019-03-19,1435.0,TG,A,J
2019-03-20,2690.0,TG,A,J
2019-03-21,665.0,TG,A,J
2019-03-22,207.0,TG,A,J
2019-03-23,931.0,TG,A,J
2019-03-24,0.0,TG,A,J
2019-03-25,950.0,TG,A,J
2019-03-26,2090.0,TG,A,J
2019-03-27,2450.0,TG,A,J
2019-03-28,242.0,TG,A,J
2019-03-29,0.0,TG,A,J
2019-03-30,716.0,TG,A,J
2019-03-31,0.0,TG,A,J
2019-04-01,120.0,TG,A,J
2019-04-02,1310.0,TG,A,J
2019-04-03,930.0,TG,A,J
2019-04-04,0.0,TG,A,J
2019-04-05,0.0,TG,A,J
2019-04-06,0.0,TG,A,J
2019-04-07,0.0,TG,A,J
2019-04-08,0.0,TG,A,J
2019-04-09,0.0,TG,A,J
