AlogP,LogD,Molecular_PolarSurfaceArea,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds,SMILES
2.824,2.824,66.75,260.236,3,1,2,O=C1CS/C(=N/c2cccc(C(F)(F)F)c2)N1
3.369,1.846,68.17,376.452,4,2,5,O=c1[nH]c(N2CCN(Cc3ccccc3)CC2)nc(O)c1Cc1ccccc1
2.208,0.736,112.41,315.324,6,3,5,CCC(C)c1ccc(O)c(NC(=O)c2nccnc2C(=O)O)c1
4.245,4.234,108.29,444.491,6,1,4,Cc1ccccc1-c1nc2ccccc2cc1Cn1nc(-c2cncnc2)c2cnc(N)nc21
4.905,4.902,69.92,352.424,4,3,1,Oc1ccc(C23CCCC2C2(CCCC2)c2ccc(O)cc2O3)c(O)c1
2.165,2.165,90.45,349.448,4,0,5,CCCN(CC1CCCO1)C(=O)c1sc2ncn(C)c(=O)c2c1C
1.233,1.233,65.38,313.351,4,1,3,O=C(NCC1Cc2ccccc2CO1)c1cnn2c1OCCC2
-0.123,-0.122,102.02,303.316,6,2,4,Cc1ccc(O[C@H]2COCC[C@H]2NC(=O)c2cnn[nH]2)cn1
3.88,3.515,57.79,380.503,3,1,6,CCN(CC)C1c2cccc3cccc(c23)C1NS(=O)(=O)c1ccccc1
2.118,2.222,100.31,366.472,4,1,8,CCCC(C)N(C)S(=O)(=O)c1ccc(NS(=O)(=O)CC)c(F)c1
3.017,3.018,130.47,371.476,2,3,2,Cc1cc(-c2[nH]c3[nH]c(=O)[nH]c(=O)c3c2-c2cc(C)sc2C)c(C)s1
4.617,3.183,116.02,470.543,5,1,7,O=C(O)CCC(=O)N1N=C(c2nn(-c3ccccc3)cc2-c2ccccc2)CC1c1cccs1
1.82,1.82,76.66,344.489,4,2,14,CCC(CNC(=O)CCOCC(C)C)NC(=O)CCOCC(C)C
1.878,1.878,91.83,376.45,5,1,6,CCc1c(C(=O)NCC(OC)C(C)(C)C)cnc2c1c(=O)n(C)c(=O)n2C
0.023,0.134,149.99,256.308,6,2,4,Cc1nnc(SCC(=O)Nc2nc[nH]n2)s1
4.832,4.832,46.17,323.429,2,1,4,Cc1cc(C)c(C(=O)c2ccc(C(=O)NC(C)(C)C)cc2)c(C)c1
2.39,2.39,83.89,408.558,4,0,3,Cn1nc2c(c1C(=O)N1CCC(C3CCCCN3S(C)(=O)=O)CC1)CCCC2
4.625,4.625,137.56,576.637,9,1,9,COc1cc2nc(OC3CCN(C(=O)OC(C)(C)C)CC3)nc(Nc3ccc(S(C)(=O)=O)cc3F)c2cc1OC
2.856,2.987,65.2,300.74,3,1,2,Cc1cccc(C2=C(N)OC(c3ccc(Cl)cc3)C2=O)n1
2.639,1.224,90.13,310.307,6,1,5,CCOc1ccccc1-n1nnc(C(=O)O)c1-c1ccncc1
0.367,0.366,108.47,318.328,5,2,7,COCCNC(=O)c1ccc(-n2ncc(C(=O)OC)c2N)cc1
4.936,3.465,95.5,444.522,4,3,9,CCC(C(=O)Nc1ccc(C(=O)O)cc1NC(=O)C(CC)c1ccccc1)c1ccccc1
2.193,2.193,81.06,314.321,5,1,4,CCOC(=O)C1SC2(C(F)(F)F)CC1(O)C(C)(C)CO2
4.474,3.367,15.27,278.391,1,1,1,c1ccc2c(c1)CC(N1CCCCC1)c1ccccc1N2
2.461,2.417,119.08,430.477,5,1,6,O=S(=O)(Nc1ccc(N2CCOCC2)cc1)c1ccc(-c2nnc(C3CCC3)o2)o1
3.131,3.085,60.91,320.184,2,1,2,Nc1nc2n(c1C(=O)c1ccc(Br)cc1)CCCC2
3.789,3.79,74.66,458.511,4,1,3,CC(=O)N1N=C(c2c(-c3ccccc3)c3ccccc3[nH]c2=O)CC1c1ccnc2ccccc12
4.414,4.414,62.73,277.753,3,2,4,Cc1ccc(Nc2nc(Cl)nc(NC(C)C)n2)cc1
1.072,0.715,87.55,346.45,5,0,3,c1nc(N2CCCC2)sc1CN1CC[C@H]2OCc3cnnn3[C@H]2C1
3.85,3.85,88.28,405.531,4,0,5,CC1CCN(C=C(S(=O)(=O)c2ccccc2)S(=O)(=O)c2ccccc2)CC1
0.901,0.901,137.69,479.57,6,1,8,CC(=O)c1cccc(N(CC(=O)Nc2ccc(S(=O)(=O)N3CCCC3)cc2)S(C)(=O)=O)c1
2.641,2.744,100.72,366.819,4,2,5,Cc1ccccc1NC(=O)CC(=O)NS(=O)(=O)c1ccc(Cl)cc1
1.419,1.421,105.13,480.535,5,2,5,Cc1n[nH]c(C)c1CNC(=O)C1CCN(C(=O)c2ncn3c2COC(c2ccc(F)cc2)C3)CC1
2.724,2.724,93.82,435.476,6,0,4,CC(C)c1nnc(-c2cccnc2N2CCN(C(=O)C3COc4ccccc4O3)CC2)o1
0.644,0.62,81.01,256.321,3,1,2,COc1ccc(N)cc1N1CCCCS1(=O)=O
0.778,1.051,73.74,333.341,4,1,3,O=c1c2cc3c(=O)n(-c4ccccc4)ccc3nc2ccn1CCO
3.41,3.411,101.68,407.419,5,3,6,CCOc1ccc(-c2[nH]c3[nH]c(=O)[nH]c(=O)c3c2-c2ccc(OC)cc2)cc1OC
